exp_id,segment,prob_B_wins,median_lift,p05,p95
EXP001,Friday,0.00522,-0.2671354926837683,-0.40951365518600075,-0.10301391112964349
EXP001,Monday,0.00016,-0.31547803877082037,-0.43379106326585704,-0.18134366804147392
EXP001,Saturday,0.00299,-0.33273177341203397,-0.4903928408504942,-0.14476040399106918
EXP001,Sunday,0.08361,-0.15548446458787557,-0.3181439356102608,0.031100433127154083
EXP001,Thursday,0.29755,-0.05794430113789975,-0.22157113416148125,0.12870113198227465
EXP001,Tuesday,0.0,-0.5180430368010072,-0.6299814436129754,-0.38603645134409575
EXP001,Wednesday,7e-05,-0.37115878919268963,-0.5012459984408798,-0.22191914078238353
